Name,Artists,Album,Release Date
Left and Right (Feat. Jung Kook of BTS),"Charlie Puth,Jung Kook,BTS",CHARLIE,2022-10-06
"Angel Pt. 2 (feat. Jimin of BTS, Charlie Puth and Muni Long / FAST X Soundtrack)","JVKE,Jimin,Charlie Puth,Muni Long,Fast & Furious: The Fast Saga","Angel Pt. 2 (feat. Jimin of BTS, Charlie Puth and Muni Long / FAST X Soundtrack)",2023-06-15
Attention,Charlie Puth,Voicenotes,2018-05-11
We Don't Talk Anymore (feat. Selena Gomez),"Charlie Puth,Selena Gomez",Nine Track Mind,2016-01-29
Light Switch,Charlie Puth,CHARLIE,2022-10-06
That’s Not How This Works (feat. Dan + Shay),"Charlie Puth,Dan + Shay",That’s Not How This Works (feat. Dan + Shay),2023-03-31
Cheating on You,Charlie Puth,Cheating on You,2019-10-01
See You Again (feat. Charlie Puth),"Wiz Khalifa,Charlie Puth",See You Again (feat. Charlie Puth),2015
Dangerously,Charlie Puth,Nine Track Mind,2016-01-29
That's Hilarious,Charlie Puth,CHARLIE,2022-10-07
How Long,Charlie Puth,Voicenotes,2018-05-11
Is It Just Me? (feat. Charlie Puth),"Sasha Alex Sloan,Charlie Puth",Is It Just Me? (feat. Charlie Puth),2020-11-19
One Call Away,Charlie Puth,Nine Track Mind,2016-01-29
I Don’t Think That I Like Her,Charlie Puth,CHARLIE,2022-10-06
Done for Me (feat. Kehlani),"Charlie Puth,Kehlani",Voicenotes,2018-05-11
Summer Feelings (feat. Charlie Puth) - From 'SCOOB!' The Album,"Lennon Stella,Charlie Puth",Summer Feelings (feat. Charlie Puth),2020-04-23
Marvin Gaye (feat. Meghan Trainor),"Charlie Puth,Meghan Trainor",Nine Track Mind,2016-01-29
Loser,Charlie Puth,CHARLIE,2022-10-06
Hard On Yourself,"Charlie Puth,blackbear",Hard On Yourself,2020-08-14
The Way I Am,Charlie Puth,Voicenotes,2018-05-11
Obsessed (with Charlie Puth & Shenseea),"Calvin Harris,Charlie Puth,Shenseea",Funk Wav Bounces Vol. 2,2022-08-05
Charlie Be Quiet!,Charlie Puth,CHARLIE,2022-10-06
I Hope (feat. Charlie Puth),"Gabby Barrett,Charlie Puth",Goldmine,2020-06-19
Patient,Charlie Puth,Voicenotes,2018-05-11
Girlfriend,Charlie Puth,Girlfriend,2020-06-23
Oops (feat. Charlie Puth),"Little Mix,Charlie Puth",Glory Days (Expanded Edition),2016-11-18
We Don't Talk Anymore (feat. Selena Gomez) - DROELOE Remix,"Charlie Puth,Selena Gomez,DROELOE",We Don't Talk Anymore (feat. Selena Gomez) [Remixes],2016-07-08
LA Girls,Charlie Puth,Voicenotes,2018-05-11
Easier – Remix (with Charlie Puth),"5 Seconds of Summer,Charlie Puth",Easier – Remix (with Charlie Puth),2019-08-13
Angel Pt. 2 - Acoustic Version,"Jimin,Fast & Furious: The Fast Saga,JVKE,Charlie Puth,Muni Long",Angel Pt. 2 (Acoustic Version),2023-07-13
I Warned Myself,Charlie Puth,I Warned Myself,2019-08-21
Some Type of Love,Charlie Puth,Nine Track Mind,2016-01-29
River,Charlie Puth,Nine Track Mind (Deluxe Edition),2016-11-11
After All,"Elton John,Charlie Puth",The Lockdown Sessions,2021-10-22
Mother,Charlie Puth,Mother,2019-09-12
Suffer,Charlie Puth,Nine Track Mind,2016-01-29
Upside Down (feat. Charlie Puth),"JVKE,Charlie Puth",Upside Down (feat. Charlie Puth),2020-10-30
Light Switch - Tiësto Remix,"Charlie Puth,Tiësto",Light Switch (Tiësto Remix),2022-03-04
I Won't Tell a Soul,Charlie Puth,Some Type of Love,2015-05-01
Does It Feel,Charlie Puth,Nine Track Mind (Deluxe Edition),2016-11-11
Sober,"G-Eazy,Charlie Puth",The Beautiful & Damned,2017-12-15
"Free - From Disney's ""The One And Only Ivan""",Charlie Puth,"Free (From Disney's ""The One And Only Ivan"")",2020-06-24
I Don't Wanna Know - Live from Spotify Studios NYC,Charlie Puth,Spotify Singles,2017-08-23
Nothing but Trouble - Instagram Models,"Lil Wayne,Charlie Puth",Nothing but Trouble (Instagram Models) [From 808: The Music],2015-06-30
