Name,Artists,Album,Release Date
Dance The Night (From Barbie The Album),Dua Lipa,Dance The Night (From Barbie The Album),2023-05-25
Cold Heart - PNAU Remix,"Elton John,Dua Lipa,PNAU",Cold Heart (PNAU Remix),2021-08-13
Don't Start Now,Dua Lipa,Don't Start Now,2019-10-31
Levitating (feat. DaBaby),"Dua Lipa,DaBaby",Levitating (feat. DaBaby),2020-10-01
New Rules,Dua Lipa,Dua Lipa (Deluxe),2017-06-02
Potion (with Dua Lipa & Young Thug),"Calvin Harris,Dua Lipa,Young Thug",Potion (with Dua Lipa & Young Thug),2022-05-27
Sweetest Pie,"Megan Thee Stallion,Dua Lipa",Sweetest Pie,2022-03-11
One Kiss (with Dua Lipa),"Calvin Harris,Dua Lipa",One Kiss (with Dua Lipa),2018-04-06
Electricity (with Dua Lipa),"Silk City,Dua Lipa,Diplo,Mark Ronson",Electricity (with Dua Lipa),2018-09-06
No Lie,"Sean Paul,Dua Lipa",Mad Love The Prequel,2018-06-29
Be the One,Dua Lipa,Dua Lipa (Deluxe),2017-06-02
Hotter Than Hell,Dua Lipa,Dua Lipa (Deluxe),2017-06-02
Break My Heart,Dua Lipa,Future Nostalgia,2020-03-27
Pretty Please,Dua Lipa,Future Nostalgia,2020-03-27
Fever - Feder Remix,"Dua Lipa,Angèle,Feder",Fever (Feder Remix),2021-01-08
Hallucinate,Dua Lipa,Future Nostalgia,2020-03-27
Don't Start Now - Purple Disco Machine Remix,"Dua Lipa,Purple Disco Machine",Don't Start Now (Remixes),2020-01-10
Physical (feat. Gwen Stefani) [Mark Ronson Remix] [Mixed],"Dua Lipa,The Blessed Madonna,Gwen Stefani,Mark Ronson",Club Future Nostalgia (DJ Mix),2020-08-28
Break My Heart / Cosmic Girl (Dimitri From Paris Edit) [Mixed],"Dua Lipa,The Blessed Madonna,Jamiroquai,Dimitri From Paris",Club Future Nostalgia (DJ Mix),2020-08-28
Future Nostalgia (Joe Goddard Remix) [Mixed],"Dua Lipa,The Blessed Madonna,Joe Goddard",Club Future Nostalgia (DJ Mix),2020-08-28
Cool,Dua Lipa,Future Nostalgia,2020-03-27
Physical,Dua Lipa,Future Nostalgia,2020-03-27
Un Día (One Day),"J Balvin,Dua Lipa,Bad Bunny,Tainy",Future Nostalgia (The Moonlight Edition),2021-02-11
IDGAF,Dua Lipa,Dua Lipa (Deluxe),2017-06-02
Blow Your Mind (Mwah),Dua Lipa,Blow Your Mind (Mwah),2016-08-26
One Kiss (with Dua Lipa) - Oliver Heldens Remix,"Calvin Harris,Dua Lipa,Oliver Heldens",One Kiss (with Dua Lipa) [Remixes],2018-07-13
Prisoner (feat. Dua Lipa),"Miley Cyrus,Dua Lipa",Plastic Hearts,2020-11-27
Boys Will Be Boys (Zach Witness Remix) [Mixed],"Dua Lipa,The Blessed Madonna,Zach Witness",Club Future Nostalgia (DJ Mix),2020-08-28
Fever,"Dua Lipa,Angèle",Fever,2020-10-29
Future Nostalgia,Dua Lipa,Future Nostalgia,2020-03-27
We're Good,Dua Lipa,Future Nostalgia (The Moonlight Edition),2021-02-11
Scared to Be Lonely - Acoustic Version,"Martin Garrix,Dua Lipa",Scared to Be Lonely (Acoustic Version),2017-04-07
If It Ain’t Me,Dua Lipa,Future Nostalgia (The Moonlight Edition),2021-02-11
That Kind Of Woman,Dua Lipa,Future Nostalgia (The Moonlight Edition),2021-02-11
Levitating,Dua Lipa,Future Nostalgia,2020-03-27
Love Again,Dua Lipa,Future Nostalgia (The Moonlight Edition),2021-02-11
Break My Heart - Moon Boots Remix,"Dua Lipa,Moon Boots",Break My Heart (Moon Boots Remix),2020-06-12
Love Again (Horse Meat Disco Remix),"Dua Lipa,Horse Meat Disco",Love Again (Horse Meat Disco Remix),2020-09-11
SUGAR (Remix) [feat. Dua Lipa],"BROCKHAMPTON,Dua Lipa",SUGAR (Remix) [feat. Dua Lipa],2020-03-06
We're Good - Dillon Francis Remix,"Dua Lipa,Dillon Francis",We're Good (Dillon Francis Remix),2021-03-12
New Rules - SG Lewis Remix,"Dua Lipa,SG Lewis",New Rules (Remixes),2017-11-03
Kiss and Make Up,"Dua Lipa,BLACKPINK",Dua Lipa (Complete Edition),2018-10-19
Electricity (feat. Dua Lipa) - MK Remix,"Silk City,Dua Lipa,Mark Ronson,Diplo,MK",Electricity (feat. Dua Lipa) [MK Remix],2018-11-09
"Swan Song (From the Motion Picture ""Alita: Battle Angel"") - aboutagirl Remix","Dua Lipa,aboutagirl","Swan Song (From the Motion Picture ""Alita: Battle Angel"") [Remixes]",2019-04-12
Scared to Be Lonely,"Martin Garrix,Dua Lipa",Scared to Be Lonely,2017-01-27
