Name,Artists,Album,Release Date
"My Dear Markandeya (From ""BRO"")","L. V. Revanth,Snigdha Sharma","My Dear Markandeya (From ""BRO"")",2023-07-08
"Aradhya (From ""Kushi"") (Telugu)","Hesham Abdul Wahab,Chinmayi","Aradhya (From ""Kushi"") (Telugu)",2023-07-12
Jam Jam Jajjanaka,"Mahati Swara Sagar,Anurag Kulkarni,Mangli,Kasarla Shyam",Bholaa Shankar,2023-07-11
"Jaanavule (From ""BRO"")","Thaman S,K. Pranati","Jaanavule (From ""BRO"")",2023-07-15
"Solluda Siva (From ""Bedurulanka 2012"")","Mani Sharma,Anurag Kulkarni,Roll Rida,Prudhvi Chandra","Solluda Siva (From ""Bedurulanka 2012"")",2023-07-19
"O Rendu Prema Meghaalila (First Love Song) [From ""Baby""]","Vijai Bulganin,Sreerama Chandra","O Rendu Prema Meghaalila (First Love Song) [From ""Baby""]",2022-12-20
Priya Mithunam (Telugu),"Ajay-Atul,Karthik,Shweta Mohan",Adipurush (TELUGU),2023-06-06
Sarkaaru Noukari Promotional Song,"Sunitha Upadrasta,Harika Narayan,Sahithi Chaganti",Sarkaaru Noukari,2023-07-19
"Sammohanuda (From ""Rules Ranjann"")","Shreya Ghoshal,Amrish","Sammohanuda (From ""Rules Ranjann"")",2023-07-20
"Aakasam Adhire (From ""Ustaad"")","Akeeva B,Kala Bhairava,Aditya Sreeram","Aakasam Adhire (From ""Ustaad"")",2023-07-12
"Too Close To Fire (From ""Her Chapter 1"")","Akanksha Bisht,Pavan","Too Close to Fire (From ""Her Chapter 1"")",2023-07-20
Jawan Prevue Theme,"Anirudh Ravichander,Raja Kumari",Jawan Prevue Theme,2023-07-10
"Chukkalonchi (From ""Ustaad"")","Akeeva B,Karthik","Chukkalonchi (From ""Ustaad"")",2023-07-19
What To Do,"Gopi Sundar,Jassie Gift,Shree Mani",Samajavaragamana,2023-06-28
Lady Luck,"Radhan,Karthik,Saraswati Putra Ramajogayya Sastry",Miss Shetty Mr Polishetty,2023-07-10
Hathavidi,"Dhanush,Radhan,Saraswati Putra Ramajogayya Sastry",Miss Shetty Mr Polishetty,2023-05-31
"Raa Veera (From ""Mahaveerudu"")","Gowtham Bharadwaj,Pavithra Chari,Bharath Sankar,Rehman","Raa Veera (From ""Mahaveerudu"")",2023-07-14
Simantha Subhavela,"Sabu Varghese,Aditi Bhavaraju,Varikuppala Yadagiri",Krishna Gadu Ante Oka Range,2023-07-15
"Rajampeta Ranini (From ""Natho Nenu"")",Geetha Madhuri,"Rajampeta Ranini (From ""Natho Nenu"") [Original Motion Picture Soundtrack]",2023-07-13
"Nee Kanulalo (From ""Asuragana Rudra"")","Siddharth Menon,Shekar Chandra,Nikesh Kumar Dasagrandhi","Nee Kanulalo (From ""Asuragana Rudra"")",2023-07-14
Ghost Big Daddy Bgm (TELUGU),Shivarajkumar,Ghost Big Daddy Bgm (TELUGU),2023-07-13
"Hidimbha Theme Music (From ""Hidimbha"")",Vikas Badisa,"Hidimbha Theme Music (From ""Hidimbha"")",2023-07-17
Yemo Yemaindho,Nandakishore,Yemo Yemaindho,2023-07-15
"Adharadha - From ""Mark Antony""","G. V. Prakash,Vishal,Ramajogaiah Sastry","Adharadha (From ""Mark Antony"")",2023-07-17
"Bhagavanth Kesari Teaser (From ""Bhagavanth Kesari"")","Nandamuri Balakrishna,SS Thaman","Bhagavanth Kesari Teaser (From ""Bhagavanth Kesari"")",2023-07-12
Veeruda,"A.R. Rahman,A. R. Ameen",Nayakudu (Original Motion Picture Soundtrack),2023-07-14
"Harom Hara (From ""Sakshi"")","Maruthi Kodimoju,Naresh Mamindla,Bheems Ceciroleo","Harom Hara (From ""Sakshi"")",2023-07-12
Edhi Em Bathuku,"Pandu Ranga,Ravi Raj,Voppari Chennaiah",Brahmachari,2023-07-12
Chanti Pillala,"Vijai Bulganin,Anudeep Dev",Baby (Original Motion Picture Soundtrack),2023-07-10
Pranama Pranama,"A.R. Rahman,Vijay Yesudas,Khatija Rahman",Nayakudu (Original Motion Picture Soundtrack),2023-07-14
"Lalana (From ""LGM (Telugu)"")","Ramesh Thamilmani,Hemachandra Vedala","Lalana [From ""LGM (Telugu)""]",2023-06-15
Holare Hola,"Gopi Sundar,J.V. Sudhanshu,Sony Komanduri,Shree Mani",Samajavaragamana,2023-06-21
"Na Roja Nuvve (From ""Kushi"")","Hesham Abdul Wahab,Shiva Nirvana","Na Roja Nuvve (From ""Kushi"") - Single",2023-05-10
Bholaa Mania,"Mahati Swara Sagar,L. V. Revanth,Saraswati Putra Ramajogayya Sastry",Bholaa Shankar,2023-06-04
Hrudayam Odipoyelaa,"Kala Bhairava,Sai Sindhuja,Srivalli",Bhaag Saale,2023-07-04
"Skanda Teaser Theme (From ""Skanda"")",Thaman S,"Skanda Teaser Theme (From ""Skanda"")",2023-07-10
"Dheere Dheere (From ""Her Chapter 1"")","Akanksha Bisht,Pavan,Mahesh (Lyricist)","Dheere Dheere (From ""Her Chapter 1"")",2023-07-02
"Evar Nuvvu - From ""Hatya""","Girishh G,M.S Krsna,Anjana Rajagopalan,Bhashyasree","Evar Nuvvu (From ""Hatya"")",2023-07-03
"Riba Pappa (From ""Baby"")","Vijai Bulganin,Sri Krishna","Riba Pappa (From ""Baby"")",2023-06-19
Rela Rela,"Charan Arjun,Mangli",Vimanam (Telugu),2023-06-30
"Ram Sita Ram (From ""Adipurush"") [Telugu]","Sachet-Parampara,Karthik,Parampara Tandon","Ram Sita Ram (From ""Adipurush"") [Telugu]",2023-05-29
Korukunna Swase,"Sid Sriram,Manisha Maganti",Ninnu Chere Tarunam,2023-06-23
"Mana Orilo Evadra Apedhi (From ""Rangabali"")","Anurag Kulkarni,Pawan CH,Pawan Basamsetti,Sri Harsha Emani","Mana Orilo Evadra Apedhi (From ""Rangabali"")",2023-05-25
"Paravasame Paravasame (From ""Narayana & Co"")","Anurag Kulkarni,K. Pranati,Dr. Josyabhatla,Purnachary","Paravasame Paravasame (From ""Narayana & Co"")",2023-06-15
"Kala Kantu Unte (From ""'Rangabali"")","Sarthak Kalyani,Vaish,Pawan CH,Krishna Kanth","Kala Kantu Unte (From ""'rangabali"")",2023-06-20
Bangarulokam,"Sahithi Chaganti,Balaji",Mem Famous,2023-06-15
"Kalallo (From ""Virupaksha"")","B. Ajaneesh Loknath,Anurag Kulkarni,Madhushree","Kalallo (From ""Virupaksha"")",2023-04-17
Raa Silaka,"Kalyani Malik,Deepu,Vaishnavi kovvuri,Kasarla Shyam",Intinti Ramayanam,2023-01-07
"Jhoom Jhoom (From ""Spy"")","Anurag Kulkarni,Ramya Behara,Vishal Chandrashekar,Kittu Vissapragada","Jhoom Jhoom (From ""Spy"")",2023-06-12
BRO Slokam,Thaman S,BRO,2023-05-25
"Thaagudhaam Thaagi Ugudhaam (From ""Bootcut Balaraju"")","Bheems Ceciroleo,Rahul Sipligunj","Thaagudhaam Thaagi Ugudhaam (From ""Bootcut Balaraju"")",2023-06-12
Kalaya Nijama,"Mohith Rahmanic,K. S. Chithra,Lakshmi Priyanka",Calling Sahasra,2023-06-07
Nijame Ne Chebutunna,"Sid Sriram,Shekar Chandra",Ooru Peru Bhairavakona,2023-03-31
Intinti Ramayanam,"Madeen SK,Mangli,Kasarla Shyam",Intinti Ramayanam,2023-06-05
"Ipudey Parichayame (From ""Manu Charitra"")","Armaan Malik,Gopi Sundar","Ipudey Parichayame (From ""Manu Charitra"")",2023-06-03
"Oopirey - From ""Takkar""","Nivas K Prasanna,Abhay Jodhpurkar,Sanjana Kalmanje","Oopirey (From ""Takkar"")",2023-05-26
