Name,Artists,Album,Release Date
Naatu Naatu,"Rahul Sipligunj,Kala Bhairava",RRR,2022-04-16
"Chamkeela Angeelesi (From ""Dasara"")","Ram Miriyala,Dhee,Santhosh Narayanan,Kasarla Shyam","Chamkeela Angeelesi (From ""Dasara"") - Single",2023-03-09
Pillaa Raa,Anurag Kulkarni,Rx 100 (Original Motion Picture Soundtrack),2018-01-01
"Gundellonaa (From ""Ori Devuda"")","Anirudh Ravichander,Leon James,Kasarla Shyam","Gundellonaa (From ""Ori Devuda"") - Single",2022-10-12
Buttabomma,Armaan Malik,Ala Vaikunthapurramuloo,2020-01-06
Oo Antava Oo Oo Antava,Indravathi Chauhan,Pushpa - The Rise,2021-12-10
Mastaaru Mastaaru,"G. V. Prakash,Shweta Mohan",Sir,2022-11-10
Pulsar Bike,Bheems Ceciroleo,Dhamaka (Original Motion Picture Soundtrack),2023-01-07
"Kalaavathi (From ""Sarkaru Vaari Paata"")","Sid Sriram,Thaman S","Kalaavathi (From ""Sarkaru Vaari Paata"") - Single",2022-02-14
Jinthaak Chithaka,"Bheems Ceciroleo,Mangli","Jinthaak Chithaka (From ""Dhamaka"")",2022-08-18
Tillu Anna DJ Pedithe,Ram Miriyala,DJ Tillu,2022-01-06
Hoyna Hoyna,"Anirudh Ravichander,Inno Genga",Gang Leader (Original Motion Picture Soundtrack),2019-09-05
Boss Party,"Devi Sri Prasad,Nakash Aziz,Haripriya","Boss Party (From ""Waltair Veerayya"")",2022-11-23
Life Of Ram,Pradeep Kumar,Jaanu,2020-01-21
Choosi Chudangane,"Anurag Kulkarni,Mahati Swara Sagar",Chalo,2017-12-02
Srivalli,"Devi Sri Prasad,Sid Sriram",Pushpa - The Rise,2021-10-13
"Almost Padipoyindhe Pilla (From ""Das Ka Dhamki"")","Leon James,Adithya RK,Poornachari","Almost Padipoyindhe Pilla (From ""Das Ka Dhamki"") - Single",2022-12-07
Emo Emo,Sid Sriram,Raahu (Original Motion Picture Soundtrack),2020-02-18
Maate Vinadhuga,Sid Sriram,Taxiwaala,2018-10-26
Enno Ratrulosthayi Remix Song,"S.P. Charan,Sameera Bharadwaj",Amigos,2023-01-31
Chitti,Ram Miriyala,Jathi Ratnalu,2021-03-07
"Naa Madhi (From ""Thiru"")","Dhanunjay Seepana,Srinivasa Mouli,Anirudh Ravichander","Naa Madhi (From ""Thiru"")",2022-08-19
Ramuloo Ramulaa,"Anurag Kulkarni,Mangli",Ala Vaikunthapurramuloo,2020-01-06
Idhe Kadha Nee Katha,Vijay Prakash,Maharshi,2019-05-04
Dosti,Hemachandra Vedala,RRR,2022-04-16
