Name,Artists,Album,Release Date
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,"The Weeknd,Playboi Carti,Madonna",Popular (Music from the HBO Original Series),2023-06-02
Die For You - Remix,"The Weeknd,Ariana Grande",Die For You (Remix),2023-02-24
Double Fantasy (with Future),"The Weeknd,Future",Double Fantasy,2023-04-21
Creepin' (with The Weeknd & 21 Savage),"Metro Boomin,The Weeknd,21 Savage",HEROES & VILLAINS,2022-12-02
Save Your Tears,The Weeknd,After Hours,2020-03-20
Blinding Lights,The Weeknd,After Hours,2020-03-20
"False Idols (with Lil Baby, Suzanna Son)","The Weeknd,Lil Baby,Suzanna Son",The Idol Episode 5 Part 1 (Music from the HBO Original Series),2023-06-30
Call Out My Name,The Weeknd,"My Dear Melancholy,",2018-03-30
Can't Feel My Face,The Weeknd,Beauty Behind The Madness,2015-08-28
Starboy,"The Weeknd,Daft Punk",Starboy,2016-11-25
The Hills,The Weeknd,Beauty Behind The Madness,2015-08-28
Stargirl Interlude,"The Weeknd,Lana Del Rey",Starboy,2016-11-25
Reminder,The Weeknd,Starboy,2016-11-25
A Lesser Man,The Weeknd,The Idol Episode 3 (Music from the HBO Original Series),2023-06-19
One Right Now (with The Weeknd),"Post Malone,The Weeknd",One Right Now,2021-11-05
Family (with Suzanna Son),"The Weeknd,Suzanna Son",The Idol Episode 2 (Music from the HBO Original Series),2023-06-12
I Feel It Coming,"The Weeknd,Daft Punk",Starboy,2016-11-25
Love Me Harder,"Ariana Grande,The Weeknd",My Everything (Deluxe),2014-08-25
After Hours,The Weeknd,After Hours,2020-03-20
In Your Eyes,The Weeknd,After Hours,2020-03-20
"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",The Weeknd,"Earned It (Fifty Shades Of Grey) [From The ""Fifty Shades Of Grey"" Soundtrack]",2014-12-23
I Was Never There,"The Weeknd,Gesaffelstein","My Dear Melancholy,",2018-03-30
Moth To A Flame (with The Weeknd),"Swedish House Mafia,The Weeknd",Paradise Again,2022-04-15
Sacrifice,The Weeknd,Dawn FM,2022-01-06
You Right,"Doja Cat,The Weeknd",You Right,2021-06-24
Take My Breath,The Weeknd,Dawn FM,2022-01-06
Die For You,The Weeknd,Starboy,2016-11-25
Is There Someone Else?,The Weeknd,Dawn FM,2022-01-06
Heartless,The Weeknd,After Hours,2020-03-20
Out of Time,The Weeknd,Dawn FM,2022-01-06
Party Monster,The Weeknd,Starboy,2016-11-25
Lost in the Fire (feat. The Weeknd),"Gesaffelstein,The Weeknd",Hyperion,2019-03-08
Less Than Zero,The Weeknd,Dawn FM,2022-01-06
Often,The Weeknd,Beauty Behind The Madness,2015-08-28
Pray For Me,"The Weeknd,Kendrick Lamar",The Highlights,2021-02-05
Nothing Is Lost (You Give Me Strength),The Weeknd,Avatar: The Way of Water (Original Motion Picture Soundtrack),2022-12-15
Wicked Games - Original,The Weeknd,House Of Balloons (Original),2011-03-21
In The Night,The Weeknd,Beauty Behind The Madness,2015-08-28
High For This - Original,The Weeknd,House Of Balloons (Original),2011-03-21
LA FAMA,"ROSALÍA,The Weeknd",MOTOMAMI,2022-03-18
Acquainted,The Weeknd,Beauty Behind The Madness,2015-08-28
Hurt You,"The Weeknd,Gesaffelstein","My Dear Melancholy,",2018-03-30
Over Now (with The Weeknd),"Calvin Harris,The Weeknd",Over Now (with The Weeknd),2020-08-28
The Morning - Original,The Weeknd,House Of Balloons (Original),2011-03-21
Try Me,The Weeknd,"My Dear Melancholy,",2018-03-30
House Of Balloons / Glass Table Girls - Original,The Weeknd,House Of Balloons (Original),2011-03-21
False Alarm,The Weeknd,Starboy,2016-11-25
Best Friends,The Weeknd,Dawn FM,2022-01-06
Power is Power (feat. The Weeknd & Travis Scott),"SZA,The Weeknd,Travis Scott,Game of Thrones",For The Throne (Music Inspired by the HBO Series Game of Thrones),2019-04-26
Sidewalks,"The Weeknd,Kendrick Lamar",Starboy,2016-11-25
Hawái - Remix,"Maluma,The Weeknd",Hawái (Remix),2020-11-05
Wasted Times,The Weeknd,"My Dear Melancholy,",2018-03-30
A Lonely Night,The Weeknd,Starboy,2016-11-25
