"name","artists","album","release_date"
"Name                                              ","Artists                                           ","Album                                             ",
"Left and Right (Feat. Jung Kook of BTS)           ","""Charlie Puth                                     ","Jung Kook                                         ",
"""Angel Pt. 2 (feat. Jimin of BTS                  "," Charlie Puth and Muni Long / FAST X Soundtrack)"" ","""JVKE                                             ",
"Attention                                         ","Charlie Puth                                      ","Voicenotes                                        ","2018-05-11"
"We Don't Talk Anymore (feat. Selena Gomez)        ","""Charlie Puth                                     ","Selena Gomez""                                     ",
"Light Switch                                      ","Charlie Puth                                      ","CHARLIE                                           ","2022-10-06"
"That’s Not How This Works (feat. Dan + Shay)      ","""Charlie Puth                                     ","Dan + Shay""                                       ",
"Cheating on You                                   ","Charlie Puth                                      ","Cheating on You                                   ","2019-10-01"
"See You Again (feat. Charlie Puth)                ","""Wiz Khalifa                                      ","Charlie Puth""                                     ",
"Dangerously                                       ","Charlie Puth                                      ","Nine Track Mind                                   ","2016-01-29"
"That's Hilarious                                  ","Charlie Puth                                      ","CHARLIE                                           ","2022-10-07"
"How Long                                          ","Charlie Puth                                      ","Voicenotes                                        ","2018-05-11"
"Is It Just Me? (feat. Charlie Puth)               ","""Sasha Alex Sloan                                 ","Charlie Puth""                                     ",
"One Call Away                                     ","Charlie Puth                                      ","Nine Track Mind                                   ","2016-01-29"
"I Don’t Think That I Like Her                     ","Charlie Puth                                      ","CHARLIE                                           ","2022-10-06"
"Done for Me (feat. Kehlani)                       ","""Charlie Puth                                     ","Kehlani""                                          ",
"Summer Feelings (feat. Charlie Puth) - From 'SCOOB","""Lennon Stella                                    ","Charlie Puth""                                     ",
"Marvin Gaye (feat. Meghan Trainor)                ","""Charlie Puth                                     ","Meghan Trainor""                                   ",
"Loser                                             ","Charlie Puth                                      ","CHARLIE                                           ","2022-10-06"
"Hard On Yourself                                  ","""Charlie Puth                                     ","blackbear""                                        ",
"The Way I Am                                      ","Charlie Puth                                      ","Voicenotes                                        ","2018-05-11"
"Obsessed (with Charlie Puth & Shenseea)           ","""Calvin Harris                                    ","Charlie Puth                                      ",
"Charlie Be Quiet!                                 ","Charlie Puth                                      ","CHARLIE                                           ","2022-10-06"
"I Hope (feat. Charlie Puth)                       ","""Gabby Barrett                                    ","Charlie Puth""                                     ",
